neighborhood,garage_type,lot_area,house_age,overall_qual,gr_liv_area,kitchen_qual,garage_area,total_bsmt_sf,bsmt_qual,saleprice
NAmes,Attchd,11425,52,5,1008,3,275.0,1008.0,3.0,137000
CollgCr,Attchd,11404,10,7,2031,4,541.0,1153.0,4.0,222500
Gilbert,Attchd,8229,0,6,1504,4,440.0,752.0,4.0,166000
OldTown,none,4485,90,5,936,3,0.0,936.0,3.0,109500
Edwards,Attchd,15635,55,4,1383,3,498.0,0.0,0.0,122000
OldTown,Detchd,3153,87,5,967,3,180.0,967.0,3.0,99900
Somerst,Attchd,11096,1,8,1656,4,826.0,1656.0,4.0,249700
Crawfor,Attchd,14000,59,6,1152,4,300.0,1092.0,3.0,158500
SawyerW,none,7733,1,6,1142,4,0.0,1142.0,3.0,139500
Timber,Attchd,8098,6,6,1403,4,470.0,1381.0,4.0,202000
NAmes,Attchd,8393,47,5,1712,3,588.0,1626.0,3.0,145000
Sawyer,CarPort,12900,39,4,1258,3,400.0,1198.0,4.0,108959
Timber,Detchd,57200,62,5,1687,3,572.0,747.0,3.0,160000
NAmes,Detchd,8078,49,5,1560,3,484.0,1560.0,3.0,128600
NWAmes,Attchd,12384,31,7,1935,3,550.0,793.0,4.0,197900
NWAmes,Attchd,9927,30,7,1083,3,596.0,1047.0,5.0,172000
CollgCr,Attchd,16300,30,5,907,3,308.0,876.0,4.0,130000
Timber,Attchd,7915,9,6,1675,4,435.0,1666.0,5.0,195000
Mitchel,Attchd,21750,54,5,988,3,520.0,988.0,3.0,113000
Mitchel,Attchd,9116,5,8,1491,4,490.0,1491.0,5.0,209000
Timber,Attchd,14419,22,7,1479,4,578.0,1645.0,4.0,213500
NAmes,Basment,13070,58,5,1112,3,480.0,631.0,3.0,126000
Edwards,Attchd,9855,53,6,1689,3,480.0,1436.0,3.0,127500
StoneBr,Attchd,8118,1,9,1710,5,557.0,1710.0,5.0,334000
NAmes,Attchd,10920,48,6,1253,3,352.0,1253.0,3.0,157000
NAmes,Detchd,6600,45,5,864,3,294.0,864.0,3.0,125500
CollgCr,Attchd,8199,3,7,1456,4,410.0,728.0,4.0,189000
Mitchel,Attchd,9947,19,7,1217,4,497.0,1188.0,4.0,173000
Veenker,Attchd,14330,32,7,2646,4,550.0,1748.0,4.0,260000
CollgCr,Attchd,10769,2,8,1768,4,578.0,866.0,4.0,212000
CollgCr,Detchd,8846,10,5,914,3,576.0,870.0,4.0,148000
NAmes,Attchd,10600,46,6,1775,3,480.0,533.0,3.0,136300
Sawyer,BuiltIn,18890,30,5,2620,3,600.0,1361.0,4.0,190000
OldTown,Detchd,9142,108,5,1627,3,420.0,797.0,2.0,139500
Gilbert,Attchd,7750,4,7,1320,4,400.0,660.0,4.0,162000
IDOTRR,Detchd,6060,68,4,1123,3,264.0,732.0,3.0,100000
Mitchel,Attchd,10172,38,5,874,3,288.0,864.0,3.0,126500
SawyerW,Attchd,10380,21,7,2730,4,576.0,1502.0,3.0,301000
CollgCr,Attchd,9337,10,6,1786,4,684.0,824.0,4.0,204750
NAmes,Detchd,7200,60,4,1040,3,420.0,0.0,0.0,90000
OldTown,2Types,9600,88,5,2350,3,393.0,973.0,3.0,130000
NAmes,Attchd,8640,38,5,1770,3,530.0,900.0,4.0,155000
NAmes,Detchd,7931,48,5,1269,3,308.0,1269.0,3.0,155000
Sawyer,Attchd,11625,45,5,1039,3,504.0,1039.0,3.0,131500
NAmes,Basment,9600,55,6,1520,3,364.0,1156.0,3.0,153000
NridgHt,Attchd,11478,3,8,1704,4,772.0,1704.0,5.0,306000
NridgHt,Attchd,7740,0,9,1686,5,899.0,1686.0,5.0,332200
Timber,Attchd,9520,1,8,1646,4,800.0,1638.0,4.0,293077
NAmes,Basment,17199,46,4,914,3,270.0,914.0,3.0,128000
OldTown,Detchd,5400,81,6,1616,4,216.0,1149.0,3.0,152000
NAmes,none,10800,57,4,1192,3,0.0,720.0,3.0,135000
OldTown,Detchd,9900,127,6,2210,2,205.0,1008.0,3.0,117500
OldTown,Detchd,6000,80,6,1296,3,576.0,845.0,3.0,127500
Veenker,Attchd,17778,26,8,2497,4,676.0,2461.0,4.0,373000
MeadowV,none,1477,38,6,1092,3,0.0,546.0,3.0,98000
Crawfor,BuiltIn,19645,16,7,1652,4,473.0,423.0,4.0,203135
CollgCr,Attchd,8750,13,7,1716,4,512.0,880.0,4.0,191000
NAmes,Attchd,7785,52,5,1014,3,267.0,0.0,0.0,98000
Edwards,none,10800,22,5,1200,3,0.0,1200.0,4.0,179000
Somerst,Attchd,9139,3,8,1432,4,492.0,1422.0,5.0,245000
NWAmes,Attchd,10140,11,7,1680,4,583.0,1650.0,5.0,213250
OldTown,Detchd,10122,60,4,869,3,390.0,0.0,0.0,89900
Gilbert,Attchd,10141,11,7,1718,3,427.0,832.0,4.0,185000
BrDale,Detchd,2205,34,6,1092,3,264.0,525.0,3.0,113500
NAmes,Detchd,10914,77,3,715,3,660.0,715.0,3.0,68000
Mitchel,Attchd,9196,7,7,1560,4,573.0,1560.0,5.0,201000
Somerst,Attchd,9803,3,7,1768,4,603.0,866.0,4.0,226700
NridgHt,Attchd,17169,0,10,2290,5,1174.0,2320.0,5.0,500067
Gilbert,Attchd,9171,2,7,1598,4,433.0,848.0,4.0,201490
CollgCr,Detchd,9750,14,5,990,3,528.0,990.0,4.0,155000
NAmes,Attchd,8604,31,5,941,4,564.0,941.0,4.0,145000
BrkSide,Detchd,6155,88,6,1362,3,502.0,611.0,2.0,128000
Gilbert,Attchd,9487,7,6,1690,3,442.0,915.0,4.0,187000
Edwards,Basment,3675,4,6,1072,3,525.0,547.0,4.0,145500
IDOTRR,Detchd,10200,84,4,572,3,200.0,572.0,3.0,75000
CollgCr,Attchd,11750,2,7,1546,4,796.0,1546.0,4.0,217000
Timber,Attchd,11896,2,7,1346,4,660.0,1336.0,4.0,220000
NWAmes,Attchd,10400,34,6,1790,3,484.0,732.0,3.0,165150
CollgCr,Detchd,10970,30,6,1026,3,576.0,940.0,4.0,147000
CollgCr,Attchd,11883,13,7,1504,4,478.0,1504.0,4.0,203000
NAmes,Attchd,10552,51,5,1700,4,447.0,1398.0,3.0,165500
Edwards,none,8248,94,3,864,3,0.0,864.0,3.0,67000
NAmes,Attchd,9760,43,6,1851,4,440.0,822.0,3.0,187000
Somerst,Detchd,2998,9,6,1512,4,440.0,756.0,4.0,180000
Crawfor,Detchd,6821,86,6,1298,3,240.0,651.0,3.0,146500
CollgCr,Attchd,11354,7,7,1673,4,583.0,1673.0,3.0,270000
SawyerW,Attchd,9069,18,6,996,4,564.0,936.0,4.0,147000
NAmes,Detchd,8064,62,6,1224,3,280.0,816.0,3.0,132000
OldTown,Detchd,5400,89,4,1374,3,338.0,840.0,3.0,105000
SWISU,none,5687,96,5,1716,2,0.0,780.0,3.0,135900
StoneBr,BuiltIn,53504,7,8,3279,5,841.0,1650.0,4.0,538000
SawyerW,none,7500,1,7,1143,4,0.0,1143.0,4.0,147000
NridgHt,Attchd,13173,3,9,1652,5,840.0,1652.0,5.0,325000
Sawyer,Detchd,9488,61,5,1054,3,240.0,1046.0,3.0,124000
Sawyer,Attchd,13526,41,5,935,3,288.0,935.0,3.0,137000
OldTown,Detchd,10410,94,4,2377,4,528.0,1313.0,3.0,142900
OldTown,Attchd,12000,60,5,1122,4,528.0,924.0,3.0,147000
NAmes,Attchd,7830,39,5,1180,3,477.0,1180.0,3.0,128000
OldTown,Detchd,8850,90,7,1690,3,225.0,815.0,3.0,144000
NridgHt,Attchd,7132,4,8,1370,4,484.0,1370.0,4.0,205000
Edwards,Detchd,9937,45,5,1486,3,480.0,1486.0,3.0,167000
OldTown,Detchd,5720,68,5,1131,3,200.0,676.0,3.0,66500
NoRidge,Attchd,12585,13,8,2799,4,704.0,1286.0,4.0,315000
CollgCr,Attchd,11103,1,7,1456,4,440.0,728.0,4.0,155835
StoneBr,Attchd,8013,14,8,1734,4,528.0,1587.0,4.0,239500
NridgHt,Attchd,10872,3,9,1531,5,700.0,1504.0,5.0,300000
Timber,Attchd,11305,5,8,1922,4,692.0,1922.0,4.0,282000
NAmes,Attchd,9100,47,5,1144,3,336.0,1144.0,3.0,120000
ClearCr,Attchd,39104,54,7,1363,3,439.0,1385.0,4.0,241500
NridgHt,Attchd,10110,0,9,1866,5,870.0,1858.0,4.0,336860
IDOTRR,Detchd,9786,84,3,1077,3,210.0,1007.0,3.0,91000
Somerst,Attchd,5330,1,8,1550,4,528.0,1550.0,4.0,207500
Crawfor,Attchd,3811,4,7,1646,5,482.0,1594.0,5.0,250000
Blmngtn,Attchd,3010,1,7,1248,4,438.0,1248.0,4.0,167240
Somerst,Attchd,3435,4,7,1245,4,495.0,1235.0,4.0,178000
NWAmes,Attchd,10800,44,6,1052,3,311.0,1052.0,3.0,127000
NWAmes,Attchd,10456,43,6,1829,3,535.0,1829.0,3.0,218500
NAmes,Detchd,8475,52,4,952,3,283.0,952.0,3.0,135750
NAmes,Attchd,8197,7,7,1480,4,620.0,1480.0,4.0,214000
SawyerW,Attchd,10994,4,8,1844,4,620.0,1844.0,4.0,257000
BrkSide,Detchd,6000,71,6,1497,3,672.0,825.0,3.0,157000
IDOTRR,Detchd,7288,64,5,976,3,215.0,976.0,3.0,102000
Crawfor,Detchd,13360,88,5,964,3,432.0,876.0,4.0,163500
CollgCr,Attchd,10335,10,7,1501,4,577.0,1490.0,4.0,204000
Edwards,Attchd,11767,53,5,1560,3,313.0,1150.0,3.0,103500
SWISU,none,10896,93,6,3395,2,0.0,1440.0,3.0,200000
SWISU,Attchd,5400,49,5,864,3,399.0,864.0,3.0,118000
CollgCr,Attchd,9100,6,7,1525,4,541.0,1525.0,4.0,235000
NAmes,Attchd,7728,44,5,1190,3,540.0,1106.0,3.0,132500
Somerst,BuiltIn,8778,1,8,1830,4,859.0,1302.0,4.0,221300
CollgCr,Attchd,8487,5,7,1500,4,570.0,1500.0,4.0,190000
CollgCr,Attchd,9930,4,7,1762,4,591.0,826.0,4.0,222000
Crawfor,Attchd,17500,51,7,1902,5,567.0,1902.0,4.0,335000
Somerst,Attchd,10206,1,8,1658,4,726.0,1614.0,4.0,257500
Somerst,Attchd,14587,0,9,1506,5,592.0,1498.0,4.0,264132
Sawyer,Attchd,7800,42,5,899,4,288.0,864.0,3.0,130000
BrkSide,Detchd,4960,79,5,1654,3,336.0,297.0,3.0,137000
IDOTRR,Detchd,7392,78,5,912,3,360.0,520.0,3.0,99500
Sawyer,Attchd,7424,32,5,1373,3,591.0,1319.0,4.0,160250
Edwards,Detchd,2522,2,7,1709,4,380.0,970.0,4.0,130000
IDOTRR,Detchd,3672,85,5,816,3,100.0,816.0,3.0,75200
Mitchel,Attchd,7706,16,6,1091,3,429.0,384.0,4.0,131250
NAmes,CarPort,12929,48,6,1081,3,401.0,1081.0,3.0,148000
Sawyer,Attchd,9316,44,5,1020,3,288.0,1024.0,3.0,124100
NAmes,Attchd,12122,47,7,999,5,588.0,944.0,3.0,178400
Edwards,none,7711,30,4,1440,3,0.0,1440.0,4.0,150000
CollgCr,Attchd,12352,9,7,1753,3,534.0,853.0,4.0,217000
Somerst,BuiltIn,12447,1,8,1964,4,760.0,1100.0,4.0,252000
SawyerW,Detchd,7500,3,7,1141,4,484.0,1141.0,4.0,152000
BrkSide,Detchd,6120,78,7,854,3,576.0,832.0,3.0,132000
OldTown,Detchd,9576,61,6,1182,3,378.0,770.0,2.0,120000
NridgHt,Attchd,9942,1,9,2091,5,521.0,1606.0,5.0,338500
NAmes,Detchd,7898,90,4,985,3,676.0,576.0,3.0,105000
Gilbert,Attchd,21872,12,7,1446,3,406.0,729.0,4.0,175000
ClearCr,Attchd,10005,31,7,2022,3,505.0,1160.0,4.0,192000
CollgCr,BuiltIn,12393,2,7,1948,4,434.0,847.0,4.0,195000
Somerst,Attchd,9000,1,8,1590,4,676.0,768.0,4.0,210000
Gilbert,BuiltIn,7875,4,7,1948,4,434.0,847.0,4.0,211000
BrkSide,Detchd,6000,73,4,1324,3,240.0,672.0,3.0,128000
NAmes,Attchd,10175,44,6,1425,3,576.0,1425.0,3.0,180500
OldTown,Detchd,13600,107,5,2337,3,560.0,662.0,3.0,90000
NAmes,Attchd,12172,67,5,908,3,512.0,822.0,3.0,138500
Gilbert,Attchd,10237,0,7,1492,4,440.0,738.0,4.0,169985
NAmes,Attchd,7000,45,5,1150,3,288.0,1150.0,3.0,146000
SawyerW,Attchd,11228,15,7,2097,4,678.0,1080.0,4.0,228000
NAmes,Attchd,8000,49,5,1256,4,311.0,1256.0,3.0,159000
Somerst,Attchd,10728,0,8,1939,4,1053.0,1095.0,4.0,266000
OldTown,Detchd,6000,82,5,1566,4,450.0,816.0,3.0,139000
Edwards,none,6931,53,4,784,3,0.0,784.0,3.0,91900
CollgCr,Attchd,8760,1,8,1500,4,674.0,1489.0,4.0,212999
NridgHt,Attchd,16033,2,9,1850,4,772.0,1833.0,5.0,326000
Gilbert,Attchd,9024,4,6,1515,4,393.0,789.0,4.0,179000
Timber,Attchd,11563,2,8,1537,4,788.0,1518.0,5.0,294000
BrDale,Detchd,1680,37,6,987,3,288.0,483.0,3.0,97000
CollgCr,Attchd,8760,0,7,1962,4,868.0,1391.0,4.0,239799
NAmes,Attchd,9600,45,5,1433,3,441.0,1251.0,3.0,161000
CollgCr,Attchd,4435,5,6,848,4,420.0,848.0,4.0,136500
BrDale,Detchd,1680,37,6,987,4,264.0,483.0,3.0,118000
Mitchel,Detchd,7599,25,4,845,3,360.0,845.0,3.0,129500
BrkSide,Detchd,7264,84,7,1548,5,672.0,952.0,3.0,205000
Crawfor,Attchd,32668,50,6,2515,3,484.0,2035.0,3.0,200624
NridgHt,Attchd,11825,1,8,1694,4,856.0,1694.0,5.0,322400
CollgCr,Attchd,10200,2,8,1602,4,810.0,1578.0,4.0,293200
NridgHt,Attchd,8849,3,9,1684,5,564.0,1684.0,5.0,266000
Sawyer,Attchd,11184,31,6,1683,3,440.0,918.0,3.0,172500
OldTown,Detchd,8820,119,5,1869,3,456.0,1088.0,3.0,124900
BrkSide,BuiltIn,6615,86,6,1432,4,216.0,1022.0,3.0,149000
CollgCr,Attchd,8773,6,7,1414,4,494.0,1414.0,4.0,185500
CollgCr,Attchd,11088,4,8,1358,4,418.0,1348.0,4.0,220000
Somerst,Attchd,9158,0,8,1496,4,474.0,1496.0,4.0,225000
NAmes,Attchd,8280,57,6,932,4,306.0,932.0,3.0,124000
NAmes,Detchd,8544,59,3,1040,3,400.0,0.0,0.0,92900
BrkSide,Detchd,8635,84,5,1072,3,1184.0,1072.0,3.0,126500
NAmes,Detchd,12735,36,4,864,3,576.0,864.0,3.0,111250
NoRidge,BuiltIn,11000,7,8,2285,4,648.0,969.0,4.0,248000
NAmes,Attchd,7590,45,5,1117,3,264.0,1117.0,3.0,136870
CollgCr,Attchd,4435,3,6,848,4,420.0,848.0,4.0,133000
NAmes,Attchd,10152,51,5,1048,3,286.0,1048.0,3.0,135000
NAmes,Attchd,10295,39,4,936,3,288.0,936.0,4.0,111900
NAmes,Detchd,7763,46,5,1283,3,506.0,931.0,3.0,140000
ClearCr,Detchd,17120,49,4,1588,3,680.0,0.0,0.0,134432
StoneBr,Attchd,13870,1,10,2042,5,724.0,1742.0,5.0,455000
NoRidge,Attchd,10120,12,8,2526,4,844.0,1165.0,4.0,290000
CollgCr,Attchd,10820,8,7,1873,4,597.0,988.0,4.0,235500
OldTown,Detchd,9600,106,6,1416,4,400.0,780.0,3.0,156500
Gilbert,Attchd,8121,6,6,1664,3,460.0,953.0,4.0,172400
Somerst,Attchd,11639,1,7,1428,4,480.0,1428.0,4.0,182000
NridgHt,Attchd,13758,1,9,1792,4,925.0,1792.0,5.0,372397
SawyerW,BuiltIn,9771,13,6,2814,4,614.0,1077.0,4.0,260000
IDOTRR,none,9000,87,5,819,4,0.0,610.0,3.0,72000
IDOTRR,none,10320,93,3,1344,3,0.0,536.0,3.0,82375
NWAmes,Attchd,10448,37,6,2119,3,583.0,689.0,3.0,158000
BrkSide,Detchd,8635,60,5,1285,3,240.0,672.0,3.0,127000
SawyerW,Attchd,11980,23,7,1433,4,528.0,1433.0,4.0,270000
SawyerW,BuiltIn,12327,26,8,2132,4,612.0,1496.0,4.0,316600
Edwards,Basment,11512,49,6,1357,5,312.0,1019.0,3.0,177000
SawyerW,Attchd,14684,19,7,2196,4,701.0,2158.0,4.0,271900
MeadowV,BuiltIn,2665,32,5,1304,3,336.0,264.0,4.0,115000
OldTown,none,5250,136,8,2358,3,0.0,684.0,3.0,122000
Crawfor,Attchd,18044,21,8,2726,4,691.0,279.0,4.0,315000
CollgCr,Attchd,9245,1,7,1797,4,639.0,939.0,4.0,213500
NAmes,Detchd,7200,56,5,1040,3,625.0,0.0,0.0,109500
OldTown,Detchd,6000,60,5,789,3,250.0,789.0,3.0,115000
Somerst,Attchd,3628,2,7,1143,4,588.0,1143.0,4.0,176400
NWAmes,Attchd,9156,41,6,1489,4,462.0,1489.0,3.0,185750
CollgCr,Attchd,9066,9,8,1852,4,660.0,1004.0,4.0,230000
Edwards,none,6410,52,4,960,3,0.0,960.0,3.0,90000
Edwards,Attchd,63887,0,10,5642,5,1418.0,6110.0,5.0,160000
Mitchel,Detchd,7244,37,5,768,3,624.0,768.0,4.0,129500
NAmes,Attchd,10152,50,6,1124,3,353.0,1124.0,3.0,153000
Somerst,Detchd,3000,0,6,1224,4,528.0,612.0,4.0,173733
SawyerW,none,7500,1,6,1100,3,0.0,1100.0,4.0,146000
NAmes,Attchd,17360,61,6,1556,3,470.0,782.0,3.0,172500
Mitchel,Attchd,15957,30,6,1356,3,528.0,1244.0,4.0,188000
Veenker,Attchd,9600,31,6,1262,3,460.0,1262.0,4.0,181500
CollgCr,Attchd,10667,13,7,1661,4,550.0,799.0,4.0,212000
NWAmes,Attchd,10530,28,7,1857,3,482.0,945.0,3.0,188900
BrkSide,none,5000,61,3,666,4,0.0,666.0,2.0,64500
ClearCr,Attchd,17082,32,6,1981,4,522.0,1117.0,4.0,230000
Edwards,Detchd,16287,82,5,1351,3,576.0,901.0,3.0,122000
NAmes,Attchd,11050,50,5,1005,3,319.0,1005.0,3.0,133500
OldTown,Detchd,10440,88,6,2792,3,520.0,1510.0,4.0,256000
MeadowV,Attchd,2665,32,5,1475,3,336.0,550.0,4.0,129500
CollgCr,Attchd,10389,7,8,1978,4,850.0,1978.0,4.0,318000
NridgHt,Attchd,9658,3,8,1606,4,871.0,1598.0,4.0,255900
SawyerW,none,7500,5,6,1158,4,0.0,1158.0,4.0,143500
NridgHt,Attchd,14122,5,8,1822,5,678.0,1822.0,5.0,259000
Crawfor,Basment,21000,54,6,2259,4,450.0,1809.0,4.0,217000
BrkSide,Detchd,8737,84,6,1635,3,440.0,1065.0,4.0,210000
NAmes,Detchd,8750,39,5,1002,3,902.0,1002.0,3.0,148500
Gilbert,BuiltIn,8499,1,6,1412,4,432.0,616.0,4.0,156932
NAmes,Detchd,11072,43,5,1728,3,576.0,1728.0,3.0,145000
CollgCr,Attchd,6762,2,7,1290,4,662.0,1282.0,4.0,200000
NridgHt,Attchd,15431,2,10,2046,5,878.0,1994.0,5.0,450000
Somerst,Detchd,3230,10,6,1471,3,440.0,729.0,4.0,172500
NWAmes,Attchd,10800,34,6,2614,3,624.0,1522.0,3.0,240000
Somerst,Attchd,11143,3,8,2466,4,610.0,1580.0,4.0,340000
Timber,Attchd,8925,2,8,1466,4,610.0,1466.0,4.0,201000
CollgCr,Attchd,10356,32,5,969,3,440.0,969.0,3.0,122000
NWAmes,Attchd,12299,29,7,1664,4,663.0,1529.0,4.0,213000
NAmes,Attchd,9900,42,6,1691,3,550.0,1680.0,3.0,175000
CollgCr,Attchd,6762,0,7,1208,4,628.0,1208.0,4.0,195400
Sawyer,Attchd,11625,42,5,1052,3,668.0,1052.0,3.0,113500
BrkSide,Detchd,6435,67,6,1577,2,312.0,972.0,3.0,140200
Sawyer,Attchd,8450,38,5,909,3,294.0,882.0,3.0,116000
Timber,Attchd,11577,1,9,1838,5,682.0,1838.0,4.0,359900
CollgCr,Attchd,8340,29,6,1388,3,317.0,675.0,4.0,157500
ClearCr,Attchd,10708,54,5,1867,3,303.0,1617.0,3.0,190000
BrkSide,Detchd,6911,85,5,1301,2,440.0,1145.0,3.0,100000
NAmes,Attchd,8800,42,6,1251,3,461.0,1251.0,3.0,160000
CollgCr,Attchd,10739,7,7,1444,4,577.0,1431.0,4.0,203000
NoRidge,Attchd,9572,17,8,2810,4,750.0,1453.0,5.0,302000
SawyerW,Attchd,8012,30,6,923,3,264.0,923.0,4.0,143000
CollgCr,BuiltIn,16226,9,8,2452,4,683.0,1028.0,4.0,267000
NAmes,CarPort,10899,43,4,1224,3,530.0,0.0,0.0,103000
Mitchel,Attchd,4500,8,6,1337,3,405.0,1237.0,5.0,153500
Sawyer,Basment,16647,32,5,1701,3,611.0,1390.0,4.0,171000
Edwards,Attchd,8707,82,4,1669,3,288.0,1093.0,3.0,107000
NAmes,Attchd,8300,39,6,952,3,288.0,952.0,3.0,128500
NAmes,Attchd,9770,50,5,922,3,308.0,922.0,3.0,116000
Mitchel,Attchd,17400,29,5,1126,3,484.0,1126.0,3.0,160000
StoneBr,Attchd,5070,16,8,1280,4,506.0,1280.0,4.0,180000
NAmes,Attchd,7920,37,5,914,5,368.0,914.0,3.0,133000
Mitchel,Attchd,7020,9,7,1368,3,784.0,1288.0,4.0,215000
Crawfor,Attchd,7500,67,6,1494,4,213.0,771.0,3.0,177500
Somerst,Attchd,10612,1,8,1534,4,484.0,1524.0,4.0,215000
BrkSide,Detchd,6120,71,5,1582,3,250.0,952.0,3.0,150000
SawyerW,Attchd,12376,20,7,3222,4,594.0,1673.0,4.0,320000
NAmes,Attchd,10004,45,6,1516,3,472.0,1516.0,3.0,167000
Edwards,Detchd,8250,71,5,1032,3,260.0,0.0,0.0,125000
OldTown,none,12205,59,3,1588,3,0.0,448.0,2.0,65000
CollgCr,Attchd,11175,0,7,1316,4,440.0,1316.0,4.0,200141
Somerst,Attchd,9965,0,7,1528,4,480.0,1528.0,4.0,235876
IDOTRR,Detchd,8660,109,5,2168,4,576.0,760.0,3.0,123000
Sawyer,Detchd,12375,55,5,1422,3,288.0,806.0,3.0,137500
CollgCr,none,8070,13,4,990,3,0.0,990.0,4.0,123600
NAmes,Attchd,8658,41,6,1324,3,440.0,1088.0,3.0,160000
Gilbert,Attchd,8063,7,6,1690,3,463.0,924.0,4.0,181000
OldTown,Detchd,8235,53,5,825,3,720.0,825.0,3.0,125000
NWAmes,Attchd,11700,41,6,1556,3,441.0,727.0,3.0,154000
Mitchel,Attchd,12961,17,6,1797,4,616.0,1152.0,4.0,231000
NAmes,Attchd,8450,42,5,1056,3,304.0,1056.0,3.0,142000
OldTown,Detchd,22950,114,10,3608,5,840.0,1107.0,3.0,475000
Crawfor,Attchd,5748,1,8,1778,5,495.0,1573.0,5.0,375000
NAmes,none,10500,39,4,864,3,0.0,864.0,3.0,115000
Somerst,Attchd,7500,5,7,1221,4,400.0,1221.0,4.0,185000
Edwards,Detchd,10042,87,6,865,3,216.0,660.0,3.0,108500
Somerst,Detchd,2544,1,7,1223,4,480.0,600.0,4.0,147400
Somerst,Detchd,3768,10,7,1452,4,506.0,691.0,4.0,156000
IDOTRR,Detchd,10320,93,5,1308,3,400.0,880.0,3.0,120000
Gilbert,BuiltIn,9734,5,7,1374,4,400.0,384.0,4.0,167000
Blmngtn,Attchd,3182,3,7,1504,4,437.0,1346.0,4.0,191000
Gilbert,BuiltIn,8872,10,6,1384,3,390.0,384.0,4.0,161500
NAmes,Attchd,12198,52,5,1411,3,310.0,1204.0,3.0,130000
Sawyer,Detchd,8480,44,5,970,3,624.0,970.0,3.0,132500
Sawyer,2Types,10200,38,5,904,4,912.0,864.0,4.0,144000
Edwards,Attchd,9555,28,5,2233,3,579.0,0.0,0.0,141000
CollgCr,Detchd,7200,35,4,875,4,728.0,385.0,3.0,117000
IDOTRR,none,6780,71,6,754,3,0.0,520.0,3.0,84500
ClearCr,Attchd,53227,54,4,1663,4,529.0,1364.0,4.0,256000
NAmes,Detchd,9100,44,5,925,3,429.0,925.0,3.0,117500
Crawfor,Detchd,9600,69,5,1308,3,256.0,728.0,3.0,160000
Sawyer,Attchd,14175,51,5,1375,3,323.0,1240.0,3.0,187000
NridgHt,Attchd,14277,4,8,2385,4,818.0,1317.0,5.0,350000
NAmes,Detchd,9000,34,5,1792,3,480.0,896.0,4.0,133000
NridgHt,Attchd,13693,1,8,2464,5,650.0,2418.0,5.0,417500
Blmngtn,Attchd,3635,2,7,1569,4,660.0,1386.0,4.0,175900
CollgCr,Attchd,10933,0,9,1680,5,1138.0,1555.0,5.0,323262
CollgCr,Attchd,8450,4,7,1337,4,531.0,1337.0,4.0,185000
NAmes,Attchd,8550,72,6,816,3,240.0,816.0,3.0,129800
NridgHt,Attchd,12182,5,7,1541,4,532.0,1541.0,4.0,220000
BrkSide,Detchd,6120,74,4,1573,4,240.0,884.0,3.0,133000
NAmes,Detchd,10800,60,4,1461,3,384.0,832.0,3.0,133500
Mitchel,2Types,12760,34,6,2048,3,776.0,1958.0,3.0,170000
Gilbert,Attchd,7655,14,6,1642,3,392.0,903.0,4.0,168000
OldTown,Detchd,10560,88,6,1470,3,624.0,738.0,2.0,140750
Gilbert,Attchd,7500,8,6,2299,3,482.0,938.0,4.0,204000
Gilbert,BuiltIn,9505,9,7,2035,4,434.0,884.0,4.0,222500
NAmes,Attchd,10205,44,5,999,3,300.0,925.0,3.0,134500
Somerst,Attchd,4379,3,8,1378,4,540.0,1378.0,4.0,214000
OldTown,Detchd,7800,67,5,1118,3,410.0,793.0,4.0,119900
Edwards,none,12108,53,4,1440,2,0.0,1440.0,3.0,118000
NAmes,Attchd,7000,47,5,1134,3,254.0,1010.0,3.0,135000
BrkSide,Detchd,13053,85,6,1848,4,370.0,833.0,3.0,207000
SWISU,Detchd,8400,83,6,1694,3,576.0,1181.0,3.0,136500
OldTown,Detchd,6000,54,4,901,3,281.0,901.0,3.0,107900
BrkSide,Detchd,6240,69,6,1409,3,528.0,861.0,3.0,126000
NAmes,Attchd,31770,50,6,1656,3,528.0,1080.0,3.0,215000
NridgHt,BuiltIn,12474,1,10,2332,5,846.0,1682.0,5.0,426000
NAmes,Attchd,9600,59,5,1113,4,264.0,1113.0,3.0,147000
Crawfor,Detchd,8574,93,6,1232,4,440.0,816.0,3.0,147500
NridgHt,Attchd,14418,1,9,1950,5,706.0,1950.0,5.0,383000
NWAmes,Attchd,10400,18,7,1872,3,604.0,1845.0,4.0,241500
Crawfor,Detchd,15564,94,6,1264,3,400.0,676.0,4.0,147500
StoneBr,BuiltIn,13543,3,8,2500,5,683.0,1168.0,5.0,355000
BrkSide,none,6130,84,5,784,4,0.0,784.0,3.0,109500
OldTown,Detchd,5925,69,2,612,3,308.0,0.0,0.0,45000
ClearCr,Attchd,24090,70,7,2403,3,349.0,1032.0,3.0,244400
NAmes,Attchd,9600,56,6,1644,3,418.0,1416.0,3.0,167000
CollgCr,Attchd,8158,5,7,1729,4,542.0,860.0,4.0,200000
SWISU,Detchd,5220,70,5,879,3,180.0,830.0,3.0,80000
Edwards,Detchd,8172,51,5,864,3,572.0,864.0,3.0,115000
NAmes,Attchd,9000,52,6,1196,3,297.0,1196.0,4.0,139000
Sawyer,Attchd,7844,28,6,1400,3,440.0,672.0,3.0,149500
Edwards,Detchd,9084,69,4,1510,3,296.0,755.0,3.0,108000
OldTown,none,10800,108,4,1294,3,0.0,0.0,0.0,106250
CollgCr,Attchd,8556,1,7,1240,4,826.0,1240.0,4.0,194000
Sawyer,Detchd,9100,44,5,988,3,624.0,988.0,3.0,129500
